지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Jan-91,-2.6,1.6,9.7,1991-01-20,-6.3,-12.9,1991-01-06
108,서울,Feb-91,-0.9,3.1,12,1991-02-14,-4.6,-15,1991-02-23
108,서울,Mar-91,4.9,9.6,18.9,1991-03-25,0.7,-6,1991-03-01
108,서울,Apr-91,13,19.1,25.6,1991-04-11,7.6,-3.4,1991-04-01
108,서울,May-91,17.5,22.8,31.1,1991-05-23,12.7,7.4,1991-05-04
108,서울,Jun-91,22.6,27.6,31.8,1991-06-28,18.3,15.2,1991-06-02
108,서울,Jul-91,24.3,27.8,32,1991-07-28,21.4,18,1991-07-08
108,서울,Aug-91,25.5,30,34.7,1991-08-20,21.6,15.7,1991-08-28
108,서울,Sep-91,21.1,25.5,31,1991-09-08,17.3,10.1,1991-09-29
108,서울,Oct-91,13.8,19.5,25.8,1991-10-01,8.8,4.1,1991-10-21
108,서울,Nov-91,6.5,10.9,17.6,1991-11-06,2.1,-4,1991-11-25
108,서울,Dec-91,2.2,5.9,12.9,1991-12-16,-1.5,-11.1,1991-12-29
108,서울,Jan-92,-0.2,3.4,7.6,1992-01-28,-3.4,-9.1,1992-01-19
108,서울,Feb-92,0.7,5,15.9,1992-02-28,-3.3,-7.8,1992-02-08
108,서울,Mar-92,7.6,12.2,20.2,1992-03-27,3.5,-1.5,1992-03-07
108,서울,Apr-92,12,17.5,24.3,1992-04-09,7.1,1.5,1992-04-12
108,서울,May-92,16.4,21.9,29.9,1992-05-30,11.7,7.1,1992-05-01
108,서울,Jun-92,20.9,26,29.8,1992-06-27,16.4,10.8,1992-06-08
108,서울,Jul-92,24.8,28.4,32.4,1992-07-06,22,19.1,1992-07-03
108,서울,Aug-92,24.8,28.9,32.8,1992-08-29,21.4,18.4,1992-08-15
108,서울,Sep-92,20.9,25.1,30.9,1992-09-05,16.9,9.3,1992-09-27
108,서울,Oct-92,14,18.9,25.1,1992-10-01,9.7,4,1992-10-26
108,서울,Nov-92,6.2,10.8,17.2,1992-11-07,2.1,-9,1992-11-27
108,서울,Dec-92,1.5,5.1,13.3,1992-12-05,-2,-9.7,1992-12-23
108,서울,Jan-93,-1.9,1.9,8.4,1993-01-24,-5.5,-11.1,1993-01-19
108,서울,Feb-93,1,5.3,14.2,1993-02-06,-2.9,-8.6,1993-02-24
108,서울,Mar-93,5.8,10.5,16.6,1993-03-27,1.9,-6.2,1993-03-02
108,서울,Apr-93,10.6,15.8,23.5,1993-04-21,6.3,-0.3,1993-04-09
108,서울,May-93,18.2,23.8,31.9,1993-05-29,13.3,9.4,1993-05-02
108,서울,Jun-93,21.3,25.8,29.2,1993-06-26,17.8,13.4,1993-06-02
108,서울,Jul-93,23.3,27.6,31.1,1993-07-07,19.8,16.2,1993-07-21
108,서울,Aug-93,23.2,27.5,30.6,1993-08-12,19.8,16.3,1993-08-30
108,서울,Sep-93,21.2,26.3,30.5,1993-09-01,16.9,10.8,1993-09-30
108,서울,Oct-93,13.4,19.3,25,1993-10-08,8.3,0.6,1993-10-31
108,서울,Nov-93,8.5,12.5,20.9,1993-11-11,5.2,-9,1993-11-24
